,3 weeks,3 weeks,3 weeks,3 weeks,3 weeks,3 weeks,3 weeks,3 weeks,3 weeks,3 weeks,1 month,1 month,1 month,1 month,1 month,1 month,1 month,1 month,1 month,1 month
,CAGR,Ann. vol,Sharpe,Sortino,Max drawdown,Calmar,CVaR 95%,Worst period,Beta to SPY,Hit rate,CAGR,Ann. vol,Sharpe,Sortino,Max drawdown,Calmar,CVaR 95%,Worst period,Beta to SPY,Hit rate
G3 atm,0.14503506791267573,0.14591440075352388,0.8172641785077678,2.1787232094565554,-0.08570433763228902,1.6922721990448466,-0.04056531519616445,-0.058833968577442525,0.477849337004898,0.5539568345323741,0.13555372953087685,0.15563517210570835,0.723586734563835,2.103060285135723,-0.10736662104903105,1.2625313920326655,-0.0441194369769678,-0.07304481373604016,0.5910858183471298,0.5151515151515151
G3 c30,0.05041133860881386,0.06337099271500482,0.391021627695551,0.7902560188153086,-0.08129802438681677,0.6200807336837145,-0.021327031962157277,-0.028686902315567822,0.1497823340418837,0.4748201438848921,0.05644445172093149,0.08068027342391978,0.39455628316994584,0.9826613902498946,-0.07575701281458735,0.7450722992348882,-0.02405127109458757,-0.0313037687400891,0.27231531781808227,0.46464646464646464
G3 atm_dm,0.23720791428110277,0.26301980592337737,0.8292164543645316,2.1167900551702634,-0.16432470804120258,1.4435316338528077,-0.07733395340085562,-0.10923636551729364,0.8688811095432932,0.5323741007194245,0.21306579475553478,0.2838301829892183,0.7179575252101309,2.03566863897645,-0.2054165103126413,1.037237924211892,-0.08339482322363874,-0.13581579281364764,1.0823003871521781,0.494949494949495
G3 c30_dm,0.09178735611771294,0.2106091489905183,0.39218664587737745,0.7902560188153082,-0.25679525639490874,0.35743400172688206,-0.07244862240487568,-0.09585298361625472,0.49872626487662614,0.4028776978417266,0.10480001655432858,0.26946672004893085,0.3937766266832058,0.982661390249894,-0.2598193705970858,0.40335721048623013,-0.08266062472253233,-0.1054459457991759,0.9060006651708445,0.36363636363636365
G3 x_atm,0.1523377587596424,0.20684267610510215,0.655801891876247,1.4781118951786616,-0.18772267718767788,0.8115042947493285,-0.0656201803555885,-0.14472499777888956,0.20816676393893185,0.5179856115107914,0.06699121339351799,0.18775170719350606,0.2949848317190559,0.5558103483314388,-0.23393659591140026,0.286364829463834,-0.08817945908906336,-0.14608510842491845,0.27486660120064954,0.48484848484848486
G3 x_c30,0.055755671280885766,0.19264855843349635,0.23639520805809897,0.45211359726588785,-0.23173591853496778,0.24060004005150595,-0.07294151765474902,-0.11067948650345541,-0.011441712767705942,0.4316546762589928,-0.020617125207338827,0.19486931943649627,-0.1477073629910733,-0.23314777651637497,-0.3646567908311671,-0.05653843758221515,-0.11498811765602401,-0.18389822912460937,0.14869762734349853,0.3838383838383838
G3 x_mix,0.1969588378914775,0.2467063934201093,0.7338417489101526,1.9088700348225005,-0.21757543432800797,0.9052439145981448,-0.06945132804154977,-0.11854808555574925,0.3587131318989613,0.5323741007194245,0.07951982291171111,0.19626084129399096,0.3509853824054769,0.634840645171416,-0.2484340369379442,0.3200842521090385,-0.10073643634215043,-0.18329299122845813,0.3249973493248318,0.5353535353535354
G3 h1,0.0852967116421921,0.11793700613091473,0.527075751012743,1.163625440332499,-0.13126907023235435,0.6497852958904308,-0.04017633159600779,-0.0824308368274495,0.03513308955669191,0.5179856115107914,0.06899466191652448,0.11296227652369695,0.41284655421359884,0.9021191906207241,-0.11146842606371155,0.6189614795232642,-0.042156884179884016,-0.06035011564191444,0.155842257970008,0.47474747474747475
G3 h2,0.13329069393727289,0.236255610329766,0.5262244227079381,1.1636254403324993,-0.2606392974089936,0.511399068606734,-0.08132864500378077,-0.16496023475391128,0.07003124400067551,0.4892086330935252,0.10050408714320191,0.2265946282856728,0.41162570332547216,0.9021191906207241,-0.22615541656193394,0.4444027415796088,-0.08602359110709272,-0.12351648238407296,0.310948632701689,0.45454545454545453
G3 pp50,0.1170936350285785,0.13120264452771377,0.7060204408655196,1.7039696038911776,-0.11810781760914602,0.9914130783118544,-0.041464676062946695,-0.07431009855448939,0.20646407706927777,0.5323741007194245,0.11795776693403615,0.13797780113950273,0.6849261542974612,2.0155739393024668,-0.08679781484786453,1.3589946606465548,-0.03613168712523503,-0.051282224621759215,0.3692733818197247,0.5151515151515151
G3 pp100,0.08710723332970294,0.13602683831834342,0.4852930922762851,1.0055216331440644,-0.1570909887344678,0.5545017828931041,-0.052291816411652446,-0.08978622853153627,-0.06492118286634228,0.5107913669064749,0.0985910209423051,0.13294226625934694,0.574637890627788,1.3595501967438406,-0.1191066121290425,0.8277543889460108,-0.04451773982856671,-0.06429457738977262,0.14746094529231912,0.5050505050505051
S18 stock,-0.08792866069496286,0.09037968092984147,-1.2633789660564705,-1.5131476880898191,-0.5532186174545278,-0.1589401692581147,-0.04750902139616109,-0.060965963256064376,-0.37777572456423236,0.3597122302158273,-0.1071047387514581,0.11465636006963814,-1.1552119680833939,-1.299854951190565,-0.6088492021768079,-0.17591340904862549,-0.08545473936639277,-0.1488782000108453,-0.5041014462996984,0.35353535353535354
S18 put,-0.043201508600250516,0.06332420997417018,-1.083273050790162,-1.568779053374891,-0.3224900551559703,-0.13396229716093533,-0.024787670001807868,-0.05138607365594886,-0.28004524172110884,0.3237410071942446,-0.035868398720036776,0.06293561632912674,-0.9670112729833072,-1.3324216584663833,-0.3291249269254036,-0.10898110652119149,-0.03203307499059033,-0.04198038871683277,-0.2731521170009995,0.32323232323232326
S18 put_dm,-0.12281418111429965,0.13448556761324873,-1.1028725175186027,-1.5429729570051902,-0.6703773445269963,-0.18320156866421952,-0.05629948913496419,-0.1334656926216512,-0.6009163973450897,0.302158273381295,-0.10750996203985097,0.1329639209218135,-0.9857443031665827,-1.3428533063654968,-0.6618531261679432,-0.1624377944126695,-0.06997539313717002,-0.0897550029063377,-0.5805453564701779,0.2727272727272727
G2 put_dm,-0.1634195384906172,0.1910898155323476,-0.9746068190910718,-1.3156920998562285,-0.798498995938477,-0.2046584145025129,-0.08950512778163787,-0.23135055193270304,-0.7697510589522549,0.33093525179856115,-0.18993497487771083,0.16508565217390664,-1.3448125405352642,-1.6005114548094792,-0.8427044110094128,-0.22538742220442617,-0.10273994973479139,-0.13644100553260236,-0.6812852313745829,0.2828282828282828
G4 put_dm,-0.08710882217612215,0.11975739295976001,-0.9218924447319905,-1.3315823666337119,-0.5957716363507759,-0.14621176447687514,-0.0431324437516735,-0.06545706539612281,-0.4320817357379247,0.3237410071942446,-0.02200868717221971,0.13255554858738405,-0.30272289822989795,-0.5002438448591674,-0.4189235020675497,-0.05253629138398375,-0.049182421828570896,-0.05309156327445564,-0.47980548156577196,0.3939393939393939
CP36 atm,0.02993122481922894,0.044792900352900886,0.090822589365653,0.1583191092640897,-0.10602208193292928,0.2823112343536487,-0.01618031185453891,-0.01967746496542883,0.034773947878833686,0.49640287769784175,0.036102551653512505,0.04496541642664464,0.22673317338507631,0.4153624469415299,-0.05680403109978305,0.6355631977965449,-0.01831744080844084,-0.02880340684766778,0.08073733414943676,0.5555555555555556
CP36 atm_dm,0.01960658692811701,0.08348739432958599,-0.043075362433664846,-0.07070541053166292,-0.21269709611783527,0.0921807927140428,-0.03269442515997994,-0.03771897476115166,0.02142269804867306,0.43884892086330934,0.032437256142060056,0.08426286584552671,0.10810854901659969,0.18550859648202672,-0.13815340251278008,0.23479158350124169,-0.039182983064547094,-0.05845405015375718,0.1105466845880147,0.45454545454545453
