signal,entry,exit,group,sector,ticker,skew90,mom20,dd60,stock_ret,pnl,vs_sector
2018-07-16,2018-07-17,2018-08-07,G2,XLY,SBUX,3.27,-0.108,-0.1376,0.0154,-0.0174,-0.0141
2018-07-16,2018-07-17,2018-08-07,G2,XLI,DE,3.36,-0.0793,-0.1387,0.0588,-0.0608,-0.0214
2018-07-16,2018-07-17,2018-08-07,G2,XLC,MTCH,1.04,-0.0819,-0.1628,-0.0251,0.0231,-0.0155
2018-07-16,2018-07-17,2018-08-07,G2,XLB,NEM,1.97,-0.0495,-0.1141,-0.0236,0.0216,0.0337
2018-07-16,2018-07-17,2018-08-07,G2,XLE,HAL,3.01,-0.0352,-0.1704,-0.0672,0.0652,0.0806
2018-07-16,2018-07-17,2018-08-07,G3,XLY,TSLA,5.54,-0.1342,-0.1638,0.1763,0.1743,0.1749
2018-07-16,2018-07-17,2018-08-07,G3,XLV,MCK,5.82,-0.0961,-0.1406,-0.0582,-0.0602,-0.0883
2018-07-16,2018-07-17,2018-08-07,G3,XLI,PH,6.04,-0.0773,-0.1356,0.0966,0.0946,0.0592
2018-07-16,2018-07-17,2018-08-07,G3,XLB,LYB,6.61,-0.0789,-0.1005,0.0489,0.0469,0.0387
2018-07-16,2018-07-17,2018-08-07,G3,XLE,PSX,6.08,-0.0261,-0.0833,0.105,0.103,0.0917
2018-07-16,2018-07-17,2018-08-07,G4,XLK,NOW,5.01,0.0146,-0.0287,-0.0286,0.0266,0.0351
2018-07-16,2018-07-17,2018-08-07,G4,XLV,UNH,6.18,0.0039,-0.0066,0.0294,-0.0314,0.0007
2018-07-16,2018-07-17,2018-08-07,G4,XLI,CTAS,6.6,0.0104,-0.0164,0.0874,-0.0894,-0.0499
2018-07-16,2018-07-17,2018-08-07,G4,XLE,OKE,5.47,0.0329,-0.0195,-0.0179,0.0159,0.0312
2018-07-16,2018-07-17,2018-08-07,G4,XLP,PG,6.83,0.0278,-0.0036,0.042,-0.044,-0.0218
2018-07-16,2018-07-17,2018-08-07,G4,XLU,DTE,10.63,0.0952,-0.0068,0.0373,-0.0393,-0.0219
2018-08-06,2018-08-07,2018-08-28,G1,XLK,AMD,-0.37,0.1698,0.0,0.2807,0.2787,0.2575
2018-08-06,2018-08-07,2018-08-28,G1,XLY,ORLY,2.44,0.0902,0.0,0.0518,0.0498,0.0277
2018-08-06,2018-08-07,2018-08-28,G1,XLV,PFE,3.81,0.1138,0.0,0.0162,0.0142,-0.0093
2018-08-06,2018-08-07,2018-08-28,G1,XLI,WM,2.22,0.0894,-0.0032,0.0059,0.0039,-0.0076
2018-08-06,2018-08-07,2018-08-28,G1,XLC,DIS,3.73,0.0936,0.0,-0.0341,-0.0361,-0.039
2018-08-06,2018-08-07,2018-08-28,G1,XLE,MPC,2.61,0.1117,-0.0255,0.0384,0.0364,0.0557
2018-08-06,2018-08-07,2018-08-28,G1,XLP,HSY,3.14,0.0655,0.0,0.0091,0.0071,0.0109
2018-08-06,2018-08-07,2018-08-28,G1,XLU,DTE,3.7,0.0713,0.0,0.0034,0.0014,0.0029
2018-08-06,2018-08-07,2018-08-28,G2,XLK,AVGO,3.84,-0.1232,-0.1864,-0.0267,0.0247,0.0499
2018-08-06,2018-08-07,2018-08-28,G2,XLY,F,-0.15,-0.0919,-0.1601,-0.0069,0.0049,0.0311
2018-08-06,2018-08-07,2018-08-28,G2,XLV,SYK,2.94,-0.0431,-0.0734,0.0285,-0.0305,-0.0031
2018-08-06,2018-08-07,2018-08-28,G2,XLI,GE,2.8,-0.0609,-0.1356,-0.0304,0.0284,0.0439
2018-08-06,2018-08-07,2018-08-28,G2,XLC,NFLX,2.23,-0.1624,-0.1624,0.0474,-0.0494,-0.0425
2018-08-06,2018-08-07,2018-08-28,G2,XLB,FCX,3.33,-0.1472,-0.1514,-0.0456,0.0436,0.0496
2018-08-06,2018-08-07,2018-08-28,G2,XLE,HAL,2.7,-0.0844,-0.2258,-0.0324,0.0304,0.0151
2018-08-06,2018-08-07,2018-08-28,G3,XLY,MAR,5.4,-0.0068,-0.0868,0.0053,0.0033,-0.0188
2018-08-06,2018-08-07,2018-08-28,G3,XLV,MCK,5.9,-0.0833,-0.1587,0.0256,0.0236,0.0002
2018-08-06,2018-08-07,2018-08-28,G3,XLI,CAT,5.32,-0.0045,-0.1169,-0.0027,-0.0047,-0.0161
2018-08-06,2018-08-07,2018-08-28,G3,XLB,IP,5.5,-0.0028,-0.1035,-0.0171,-0.0191,-0.0211
2018-08-06,2018-08-07,2018-08-28,G4,XLK,APH,5.37,0.0515,-0.0163,0.0004,-0.0024,0.0227
2018-08-06,2018-08-07,2018-08-28,G4,XLY,RCL,8.82,0.0327,-0.0256,0.0709,-0.0729,-0.0467
2018-08-06,2018-08-07,2018-08-28,G4,XLV,DHR,6.93,0.0282,-0.0143,0.0043,-0.0063,0.0211
2018-08-06,2018-08-07,2018-08-28,G4,XLI,LMT,5.96,0.0341,-0.0282,0.0218,-0.0238,-0.0084
2018-08-06,2018-08-07,2018-08-28,G4,XLC,VZ,5.71,0.0343,-0.0002,0.0417,-0.0437,-0.0369
2018-08-06,2018-08-07,2018-08-28,G4,XLB,SHW,7.32,0.0705,-0.0102,0.0212,-0.0232,-0.0172
2018-08-06,2018-08-07,2018-08-28,G4,XLE,WMB,7.11,0.1367,0.0,-0.0472,0.0452,0.03
2018-08-06,2018-08-07,2018-08-28,G4,XLP,KR,11.17,0.0403,-0.0007,0.0419,-0.0439,-0.0437
2018-08-06,2018-08-07,2018-08-28,G4,XLU,XEL,14.25,0.0469,0.0,0.0078,-0.0098,-0.0073
2018-08-27,2018-08-28,2018-09-19,G1,XLK,AMD,-0.34,0.3007,0.0,0.2459,0.2439,0.2567
2018-08-27,2018-08-28,2018-09-19,G1,XLY,TJX,3.51,0.1148,-0.0056,0.0164,0.0144,0.0067
2018-08-27,2018-08-28,2018-09-19,G1,XLV,CVS,3.74,0.1117,0.0,0.0539,0.0519,0.0395
2018-08-27,2018-08-28,2018-09-19,G1,XLI,ADP,3.84,0.0693,0.0,0.0266,0.0246,-0.002
2018-08-27,2018-08-28,2018-09-19,G1,XLC,MTCH,1.66,0.442,-0.0004,0.1532,0.1512,0.1799
2018-08-27,2018-08-28,2018-09-19,G1,XLB,ECL,2.06,0.0645,0.0,0.0585,0.0565,0.0481
2018-08-27,2018-08-28,2018-09-19,G1,XLE,VLO,3.05,0.0409,-0.0192,-0.0888,-0.0908,-0.0932
2018-08-27,2018-08-28,2018-09-19,G1,XLP,SYY,2.93,0.118,-0.0164,-0.0199,-0.0219,-0.0332
2018-08-27,2018-08-28,2018-09-19,G1,XLU,DTE,3.11,0.033,-0.0201,-0.0071,-0.0091,-0.0054
2018-08-27,2018-08-28,2018-09-19,G2,XLK,AMAT,2.75,-0.0826,-0.1693,-0.1005,0.0985,0.0897
2018-08-27,2018-08-28,2018-09-19,G2,XLY,BKNG,3.31,-0.0464,-0.1013,-0.0023,0.0003,0.0121
2018-08-27,2018-08-28,2018-09-19,G2,XLV,GILD,2.35,-0.0197,-0.052,-0.0064,0.0044,0.0208
2018-08-27,2018-08-28,2018-09-19,G2,XLI,GE,3.71,-0.0296,-0.0988,0.0174,-0.0194,0.0112
2018-08-27,2018-08-28,2018-09-19,G2,XLB,NEM,1.73,-0.122,-0.1765,-0.0054,0.0034,0.0157
2018-08-27,2018-08-28,2018-09-19,G2,XLE,FANG,3.15,-0.0812,-0.1011,0.0616,-0.0636,-0.0572
2018-08-27,2018-08-28,2018-09-19,G3,XLY,TSLA,8.69,0.1003,-0.1589,-0.0412,-0.0432,-0.0509
2018-08-27,2018-08-28,2018-09-19,G3,XLV,MCK,5.07,0.0351,-0.1312,0.036,0.034,0.0215
2018-08-27,2018-08-28,2018-09-19,G3,XLC,OMC,5.03,0.0157,-0.1115,-0.0063,-0.0083,0.0204
2018-08-27,2018-08-28,2018-09-19,G3,XLB,VMC,5.68,-0.0287,-0.1454,0.0199,0.0179,0.0095
2018-08-27,2018-08-28,2018-09-19,G3,XLE,EOG,5.7,-0.0866,-0.0866,0.0186,0.0166,0.0142
2018-08-27,2018-08-28,2018-09-19,G4,XLK,IBM,6.64,0.0191,-0.0065,0.0168,-0.0188,-0.0276
2018-08-27,2018-08-28,2018-09-19,G4,XLY,RCL,5.43,0.0806,0.0,0.0923,-0.0943,-0.0825
